name,list1,list2,list3,list4
社團法人台灣環境資訊協會,1,0,0,1
財團法人伊甸社會福利基金會辦理台北市萬芳啟能中心,1,0,1,0
社團法人台灣性別平等教育協會,1,0,1,0
台北市女性權益促進會,1,0,1,0
財團法人台灣關愛基金會,1,0,0,1
社團法人台灣關愛之家協會,1,0,1,0
社團法人中華視障路跑運動協會,1,1,0,0
社團法人中華民國軟骨發育不全症病友關懷協會,1,0,1,0
社團法人台灣弱勢病患權益促進會,1,0,1,0
中華民國家庭照顧者關懷總會,1,0,1,0
社團法人中華社區厝邊頭尾營造協會,1,1,0,0
社團法人台灣優質生命協會,1,0,1,0
中華單親家庭互助協會,1,0,1,0
中華民國老人福利推動聯盟,1,0,1,0
財團法人天下雜誌教育基金會,1,0,1,0
台北市社區銀髮族服務協會,1,0,1,0
社團法人台灣人權促進會,1,0,1,0
財團法人台北市私立雙連視障關懷基金會,1,1,0,0
台北市一葉蘭喪偶家庭成長協會,1,0,1,0
台灣海洋性貧血協會,1,0,1,0
財團法人崇友文教基金會,1,1,0,0
社團法人台灣破冰專業服務協會,1,0,1,0
社團法人台北市歐伊寇斯OIKOS社區關懷協會,1,0,1,0
財團法人乳癌防治基金會,1,0,0,1
社團法人台灣新住民家庭成長協會,1,0,1,0
社團法人台灣結節硬化症協會,1,0,1,0
中華救助總會,1,0,0,1
社團法人台灣伴侶權益推動聯盟,1,0,1,0
財團法人金車教育基金會,1,0,0,1
財團法人精神健康基金會,1,1,0,0
台灣新住民協會,1,1,0,0
願景青年行動網協會,1,1,0,0
財團法人中華電信基金會,1,0,0,1
社團法人台灣數位文化協會,1,0,1,0
台北市聽障者聲暉協會,1,0,1,0
財團法人金花教育基金會,1,0,0,1
人禾環境倫理發展基金會,1,1,0,0
財團法人蒲公英希望基金會,1,0,0,1
台北市婦女新知協會,1,0,1,0
中華民國紅心字會,1,0,1,0
中華民國社區營造學會,1,0,1,0
台北縣政府委託財團法人天主教耕莘醫院辦理台北縣愛維養護中心,1,0,1,0
社團法人中華樂扶社會服務協會,1,0,0,1
財團法人天主教福利會,1,0,1,0
中華民國海洋運動推廣協會,1,1,0,0
財團法人理周教育基金會,1,1,0,0
財團法人鼓岩世界教育基金會,1,0,1,0
財團法人基督教芥菜種會附設台北縣私立愛心育幼院,1,0,1,0
台東縣天主教愛德婦女協會,1,0,1,0
社團法人台東縣失智者關懷協會,1,0,1,0
財團法人天主教會花蓮教區附設救星教養院,1,0,1,0
台東縣蘭嶼鄉居家關懷協會,1,0,1,0
社團法人台灣安心家庭關懷協會,1,0,1,0
台南市循理疼厝邊服務協會,1,0,1,0
社團法人中華民國道德重整協會,1,0,1,0
社團法人中華民國圓夢傳愛關懷協會,1,1,0,0
社團法人台南市腦性麻痺之友協會,1,0,1,0
社團法人台南市康復之友協會,1,0,1,0
社團法人台灣國際青年文化交流協會,1,1,0,0
社團法人台南市理想家庭促進協會,1,1,0,0
社團法人台南市癲癇之友協會,1,0,1,0
台南市基督教女青年會,1,0,1,0
社團法人台南市好厝邊全人關懷協會,1,0,1,0
社團法人台南市以琳之家關懷協會,1,0,1,0
社團法人台南市牧德關懷協會,1,0,1,0
財團法人台灣省私立鴻佳啟能庇護中心,1,1,0,0
財團法人台南市私立蓮心園社會福利慈善事業基金會,1,0,1,0
社團法人台灣橄欖園關懷協會,1,1,0,0
社團法人中華民國向陽關懷協會,1,0,0,1
社團法人台南市新世代社會福利關懷協會,1,0,1,0
社團法人台南市酵母社會關懷協進會,1,0,1,0
社團法人台南市善牧全人關懷協會,1,0,1,0
社團法人台南市婦女兒童安全保護協會,1,0,1,0
財團法人台南市私立林澄輝社會福利慈善事業基金會,1,0,1,0
財團法人台南縣私立菩提林教養院,1,0,1,0
台南縣志願服務協會,1,0,1,0
中華民國義務役傷殘官兵協會,1,1,0,0
財團法人台南市私立噶瑪噶居蔣揚社會福利慈善事業基金會,1,0,1,0
財團法人台中市私立長生老人長期照護中心,1,0,1,0
中華傳愛社區服務協會,1,0,1,0
社團法人中華民國婦幼關懷成長協會,1,0,1,0
社團法人台中市保母協會,1,0,1,0
台中市台中故事協會,1,1,0,0
財團法人水源地文教基金會,1,0,1,0
財團法人光鹽文教基金會,1,0,1,0
財團法人全成社會福利基金會,1,0,1,0
財團法人台灣省私立永信社會福利基金會,1,0,0,1
社團法人台中市東區東信社區發展協會,1,0,1,0
社團法人台灣盲人福利協進會全國總會,1,0,1,0
財團法人中華基督教福音信義傳道會,1,0,1,0
中華普露功德會,1,0,1,0
中華民國幸福家庭促進協會,1,0,1,0
社團法人原住民深耕德瑪汶協會,1,0,1,0
網銀基金會,1,1,0,0
社團法人台中市自閉症教育協進會,1,0,1,0
社團法人中華德人多元家庭教育發展協會,1,0,0,1
財團法人台中市私立弘毓社會福利基金會,1,0,0,1
財團法人劉曜瑋青年國際志工基金會,1,1,0,0
社團法人台灣省社區關懷協會,1,0,1,0
社團法人台灣亞洲動物福利協會,1,1,0,0
財團法人台灣省私立向上社會福利基金會,1,0,1,0
社團法人台中市基督教青年會,1,0,1,0
社團法人台中市學習動力協會,1,0,1,0
財團法人台灣兒童暨家庭扶助基金會附設台中市私立家扶發展學園,1,0,1,0
財團法人台中市私立龍眼林社會福利慈善事業基金會,1,0,1,0
財團法人樹和教育基金會,1,1,0,0
社團法人台中市智障者家長協會,1,0,1,0
社團法人台灣省兒童少年成長協會,1,0,1,0
財團法人陽光社會福利基金會附設中區服務中心,1,0,1,0
中華非營利組織發展協會,1,1,0,0
台中縣東勢鎮兒童少年福利協會,1,0,1,0
台中縣東勢鎮愛鄉協進會,1,0,1,0
台中市世界聯合保護動物協會,1,1,0,0
社團法人中華民國篤仁慈善關懷協會,1,1,0,0
社團法人桃園縣聲暉協進會,1,0,1,0
財團法人桃園縣私立康福智能發展中心,1,0,0,1
財團法人台灣省私立啟智技藝訓練中心,1,0,1,0
社團法人中華民國晴天社會福利協會,1,0,1,0
社團法人桃園市失智症關懷協會,1,1,0,0
社團法人桃園縣視障輔導協會,1,0,1,0
財團法人台灣省天主教會新竹教區附設桃園縣私立天使發展中心,1,0,1,0
財團法人桃園縣私立菩提之家,1,0,0,1
財團法人桃園縣樹仁基金會附設桃園教養院,1,1,0,0
財團法人桃園縣真善美社會福利基金會,1,0,0,1
社團法人台灣全球兒童少年援助會,1,1,0,0
財團法人新北市私立樂山園社會福利慈善事業基金會附設樂山教養院,1,0,0,1
社團法人台灣泡泡龍病友協會,1,0,1,0
社團法人新北市身心障礙者福利促進協會,1,0,1,0
青年社會服務協會,1,1,0,0
社團法人中華兒童與家庭促進協會,1,0,1,0
台灣樂業協會,1,0,1,0
財團法人中華啟能基金會附設春暉啟能中心,1,0,1,0
社團法人台灣微客公益行動協會,1,1,0,0
台灣國際家庭互助協會,1,0,1,0
